Wavelength	Counts
459.7462	373.27888
460.119	346.36271
460.4917	358.65053
460.8643	312.42495
461.2369	310.08441
461.6095	279.07231
461.982	317.10602
462.3545	322.37222
462.7269	331.73437
463.0993	333.48977
463.4717	289.60472
463.844	285.50879
464.2162	313.01008
464.5884	294.87093
464.9606	296.0412
465.3327	281.99798
465.7048	281.41285
466.0769	311.25468
466.4489	305.98847
466.8208	296.0412
467.1927	256.25209
467.5646	288.43446
467.9364	300.72227
468.3082	286.67905
468.6799	296.0412
469.0516	281.99798
469.4232	270.88044
469.7948	260.93316
470.1664	283.75338
470.5379	271.46557
470.9094	290.18986
471.2808	295.45606
471.6522	280.82771
472.0235	262.68856
472.3948	273.80611
472.7661	276.14664
473.1373	261.5183
473.5084	256.83722
473.8796	294.87093
474.2506	281.41285
474.6217	255.08182
474.9927	265.0291
475.3636	277.31691
475.7345	237.5278
476.1054	265.61423
476.4762	288.43446
476.8469	241.03861
477.2177	266.7845
477.5883	245.71968
477.959	262.68856
478.3296	262.10343
478.7001	289.60472
479.0706	288.43446
479.4411	267.95477
479.8115	254.49669
480.1819	254.49669
480.5522	259.76289
480.9225	268.5399
481.2927	278.48718
481.6629	277.90205
482.033	248.06021
482.4031	288.43446
482.7732	270.88044
483.1432	273.22097
483.5132	294.87093
483.8831	280.24258
484.253	248.06021
484.6229	252.74129
484.9926	251.57102
485.3624	285.50879
485.7321	258.00749
486.1018	262.68856
486.4714	276.14664
486.841	271.46557
487.2105	256.83722
487.58	234.60213
487.9494	270.88044
488.3188	256.83722
488.6882	274.39124
489.0575	243.37914
489.4268	246.30481
489.796	240.45347
490.1652	273.80611
490.5343	229.33593
490.9034	259.76289
491.2724	287.26419
491.6414	280.82771
492.0104	223.48459
492.3793	300.13713
492.7482	269.12504
493.117	250.40075
493.4858	272.05071
493.8545	265.0291
494.2232	260.93316
494.5918	262.68856
494.9604	268.5399
495.329	250.40075
495.6975	257.42236
496.066	260.93316
496.4344	229.33593
496.8028	287.26419
497.1711	248.64535
497.5394	257.42236
497.9076	273.22097
498.2758	239.28321
498.644	247.47508
499.0121	254.49669
499.3802	270.88044
