Wavelength	Counts
457.5089	11897.34532
457.8819	11286.46549
458.2548	10304.61076
458.6277	10323.92018
459.0006	9906.13456
459.3734	9305.78715
459.7462	9314.56415
460.119	8789.69902
460.4917	8305.79326
460.8643	8044.82353
461.2369	7925.45621
461.6095	7469.63688
461.982	7284.14942
462.3545	6893.27996
462.7269	6869.8746
463.0993	6590.76572
463.4717	6116.2221
463.844	6060.04924
464.2162	6029.03715
464.5884	5677.37165
464.9606	5497.73554
465.3327	5280.06572
465.7048	5076.43911
466.0769	5046.01215
466.4489	4952.97585
466.8208	4625.30085
467.1927	4574.3942
467.5646	4528.16862
467.9364	4336.82982
468.3082	4332.73389
468.6799	4132.61808
469.0516	3955.90764
469.4232	3920.21447
469.7948	3912.60773
470.1664	3830.68898
470.5379	3728.87567
470.9094	3587.27326
471.2808	3416.41415
471.6522	3381.30612
472.0235	3355.56023
472.3948	3258.42799
472.7661	3085.22835
473.1373	3107.46344
473.5084	3126.18773
473.8796	2909.68817
474.2506	2867.55853
474.6217	2814.31134
474.9927	2761.06415
475.3636	2730.05206
475.7345	2565.62942
476.1054	2528.18085
476.4762	2467.32692
476.8469	2406.47299
477.2177	2325.72451
477.5883	2408.2284
477.959	2209.86799
478.3296	2167.73835
478.7001	2146.67353
479.0706	2079.38313
479.4411	2065.33991
479.8115	1909.69429
480.1819	1911.44969
480.5522	1859.37277
480.9225	1821.33907
481.2927	1767.50674
481.6629	1693.19473
482.033	1672.71505
482.4031	1624.73407
482.7732	1589.0409
483.1432	1517.65456
483.5132	1460.31143
483.8831	1397.11697
484.253	1397.11697
484.6229	1362.00893
484.9926	1328.6563
485.3624	1280.67532
485.7321	1305.25094
486.1018	1230.3538
486.4714	1199.92683
486.841	1153.70125
487.2105	1151.36072
487.58	1137.3175
487.9494	1099.2838
488.3188	1063.00549
488.6882	1063.59063
489.0575	989.86375
489.4268	969.9692
489.796	966.4584
490.1652	924.32875
490.5343	936.61657
490.9034	897.99773
491.2724	865.23023
491.6414	871.08157
492.0104	862.88969
492.3793	871.08157
492.7482	843.58027
493.117	813.15331
493.4858	774.53447
493.8545	759.90612
494.2232	752.88451
494.5918	727.13862
494.9604	752.88451
495.329	762.24665
495.6975	723.62782
496.066	665.11442
496.4344	668.04009
496.8028	673.89143
497.1711	663.35902
497.5394	641.12393
497.9076	642.2942
498.2758	637.61313
498.644	629.42125
499.0121	608.94157
499.3802	591.38755
499.7482	588.46188
500.1162	573.2484
500.4841	549.2579
500.852	566.22679
501.2198	603.67536
501.5876	552.76871
501.9554	566.22679
502.3231	521.17148
502.6908	524.09715
503.0584	522.92688
503.426	536.97009
503.7935	494.84045
504.161	506.54313
504.5284	513.56473
504.8958	514.14987
505.2632	507.7134
505.6305	462.65808
505.9978	469.67969
506.365	474.9459
506.7322	507.12826
507.0993	464.41348
507.4664	499.52152
507.8334	498.93639
508.2004	435.15679
508.5674	419.35817
508.9343	444.51893
509.3012	458.56215
509.668	443.34866
510.0347	394.78255
510.4015	395.36768
510.7682	422.28384
511.1348	405.31496
511.5014	425.20951
511.8679	381.9096
512.2345	395.36768
512.6009	411.1663
512.9673	424.03924
513.3337	401.80415
513.7	406.48523
514.0663	373.71773
514.4326	393.02715
514.7987	383.665
515.1649	338.02456
515.531	391.27174
515.8971	353.23804
516.2631	396.53795
516.629	362.60018
516.995	330.41782
517.3608	373.13259
517.7267	348.55697
518.0925	356.74884
518.4582	336.26915
518.8239	369.03665
519.1896	377.22853
519.5552	353.23804
519.9207	329.83268
520.2863	344.46103
520.6517	383.07987
521.0172	325.73674
521.3826	331.00295
521.7479	320.47054
522.1132	343.8759
522.4784	342.70563
522.8436	321.05567
523.2088	326.90701
523.5739	338.02456
523.939	339.77996
524.304	315.20433
524.669	327.49215
525.0339	352.6529
525.3988	328.66241
525.7637	339.19482
526.1285	323.39621
526.4932	327.49215
526.8579	275.41523
527.2226	339.77996
527.5872	336.85429
527.9518	331.00295
528.3163	307.59759
528.6808	301.74625
529.0453	282.43683
529.4096	282.43683
529.774	302.33139
530.1383	304.08679
530.5026	328.66241
530.8668	317.54487
531.2309	295.30978
531.5951	281.8517
531.9592	282.43683
532.3232	261.37201
532.6872	267.22335
533.0511	295.89491
533.415	298.82058
533.7789	317.54487
534.1427	289.45844
534.5064	314.03407
534.8702	264.88282
535.2338	271.90442
535.5975	301.16112
535.961	305.84219
536.3246	258.44634
536.6881	269.56389
537.0515	293.55438
537.4149	284.19223
537.7783	291.79898
538.1416	274.24496
538.5049	305.25706
538.8681	295.30978
539.2312	301.74625
539.5944	285.3625
539.9575	294.72465
540.3205	302.91652
540.6835	268.97875
541.0464	282.43683
541.4093	309.93813
541.7722	287.70304
542.135	320.47054
542.4978	301.74625
542.8605	278.3409
543.2232	273.65982
543.5858	277.17063
543.9484	299.99085
544.3109	281.8517
544.6734	269.56389
545.0359	290.62871
545.3983	290.04357
545.7606	281.26657
546.123	298.82058
546.4852	303.50165
546.8474	258.44634
547.2096	292.96924
547.5718	291.79898
547.9338	297.65032
548.2959	283.02197
548.6579	261.95715
549.0198	280.0963
549.3817	280.0963
549.7436	284.19223
550.1054	300.57598
550.4672	308.18273
550.8289	298.82058
551.1906	316.95973
551.5522	258.44634
551.9138	280.68143
552.2753	294.72465
552.6368	255.52067
552.9983	299.99085
553.3597	288.28817
553.721	274.24496
554.0823	285.3625
554.4436	276.58549
554.8048	273.65982
555.166	261.95715
555.5271	309.93813
555.8882	268.39362
556.2493	284.19223
556.6102	258.44634
556.9712	300.57598
557.3321	287.1179
557.6929	287.1179
558.0538	308.18273
558.4145	281.26657
558.7752	297.65032
559.1359	319.30027
559.4965	308.76786
559.8571	301.16112
560.2177	280.0963
560.5781	275.41523
560.9386	296.48005
561.299	321.64081
561.6593	282.43683
562.0196	307.59759
562.3799	248.49907
562.7401	252.595
563.1003	271.31929
563.4604	292.38411
563.8205	259.03148
564.1805	282.43683
564.5405	297.65032
564.9005	256.69094
565.2603	271.90442
565.6202	254.93554
565.98	278.92603
566.3398	322.81107
566.6995	262.54228
567.0591	274.24496
567.4188	307.59759
567.7783	259.61661
568.1379	285.94764
568.4973	256.69094
568.8568	274.83009
569.2162	283.02197
569.5755	299.40572
569.9348	276.58549
570.2941	268.97875
570.6533	280.68143
571.0124	241.47746
571.3715	267.22335
571.7306	279.51116
572.0896	287.70304
572.4486	225.09371
572.8075	264.29768
573.1664	283.02197
573.5253	318.13
573.884	253.76527
574.2428	299.99085
574.6015	283.6071
574.9601	285.94764
575.3188	273.65982
575.6773	306.42732
576.0358	259.03148
576.3943	280.68143
576.7527	264.29768
577.1111	274.24496
577.4694	299.99085
577.8277	229.77478
578.186	275.41523
578.5442	273.65982
578.9023	291.79898
579.2604	316.95973
579.6185	262.54228
579.9765	269.56389
580.3344	230.35991
580.6924	274.24496
581.0502	287.1179
581.408	257.27607
581.7658	266.05308
582.1236	247.3288
