Wavelength	Counts
459.7462	357.15112
460.119	337.25657
460.4917	334.3309
460.8643	318.53228
461.2369	277.57291
461.6095	289.27559
461.982	313.26608
462.3545	301.5634
462.7269	269.38103
463.0993	300.97826
463.4717	309.17014
463.844	278.74318
464.2162	302.73367
464.5884	267.0405
464.9606	276.98777
465.3327	293.95666
465.7048	295.71206
466.0769	274.64724
466.4489	286.34992
466.8208	285.76478
467.1927	275.81751
467.5646	293.37152
467.9364	274.64724
468.3082	293.95666
468.6799	280.49858
469.0516	269.96617
469.4232	257.67835
469.7948	247.73108
470.1664	268.7959
470.5379	282.25398
470.9094	279.91344
471.2808	293.95666
471.6522	286.34992
472.0235	254.16755
472.3948	261.77429
472.7661	269.38103
473.1373	282.83911
473.5084	265.28509
473.8796	256.50809
474.2506	303.3188
474.6217	254.16755
474.9927	239.5392
475.3636	272.89184
475.7345	278.74318
476.1054	266.45536
476.4762	261.18916
476.8469	277.57291
477.2177	287.52018
477.5883	275.23237
477.959	263.52969
478.3296	268.21076
478.7001	248.31621
479.0706	282.83911
479.4411	257.09322
479.8115	292.78639
480.1819	261.18916
480.5522	252.41215
480.9225	262.35943
481.2927	261.18916
481.6629	262.35943
482.033	241.87974
482.4031	272.89184
482.7732	281.08371
483.1432	279.32831
483.5132	275.81751
483.8831	283.42425
484.253	256.50809
484.6229	272.89184
484.9926	285.17965
485.3624	251.82701
485.7321	289.86072
486.1018	274.0621
486.4714	274.0621
486.841	276.40264
487.2105	275.81751
487.58	254.16755
487.9494	272.89184
488.3188	246.56081
488.6882	274.0621
489.0575	268.21076
489.4268	281.66884
489.796	281.66884
490.1652	265.87023
490.5343	282.25398
490.9034	255.33782
491.2724	244.22027
491.6414	255.92295
492.0104	291.03099
492.3793	243.63514
492.7482	255.92295
493.117	259.43376
493.4858	239.5392
493.8545	285.17965
494.2232	272.3067
494.5918	257.09322
494.9604	265.87023
495.329	276.40264
495.6975	254.16755
496.066	271.13643
496.4344	248.90134
496.8028	252.99728
497.1711	275.23237
497.5394	277.57291
497.9076	252.41215
498.2758	267.0405
498.644	256.50809
499.0121	271.72157
499.3802	272.3067
499.7482	241.87974
500.1162	239.5392
500.4841	279.91344
500.852	276.98777
501.2198	278.15804
501.5876	261.18916
501.9554	269.38103
502.3231	269.38103
502.6908	252.41215
503.0584	290.44585
503.426	260.01889
503.7935	258.84862
504.161	268.7959
504.5284	286.93505
504.8958	284.00938
505.2632	285.17965
505.6305	239.5392
505.9978	260.01889
506.365	268.21076
506.7322	252.41215
507.0993	278.74318
507.4664	309.17014
507.8334	282.83911
508.2004	274.64724
508.5674	281.66884
508.9343	289.86072
509.3012	262.94456
509.668	257.67835
510.0347	252.41215
510.4015	277.57291
510.7682	272.3067
511.1348	269.96617
511.5014	286.34992
511.8679	236.61353
512.2345	250.65675
512.6009	308.58501
512.9673	285.17965
513.3337	252.99728
513.7	300.97826
514.0663	252.99728
514.4326	240.12434
514.7987	279.91344
515.1649	241.87974
515.531	254.75268
515.8971	243.63514
516.2631	280.49858
516.629	289.86072
516.995	281.08371
517.3608	268.7959
517.7267	295.71206
518.0925	243.05001
518.4582	261.77429
518.8239	256.50809
519.1896	267.0405
519.5552	271.72157
519.9207	257.09322
520.2863	241.2946
520.6517	260.01889
521.0172	212.62304
521.3826	270.5513
521.7479	261.77429
522.1132	219.64465
522.4784	322.62822
522.8436	288.10532
523.2088	278.15804
523.5739	270.5513
523.939	248.90134
524.304	249.48648
524.669	262.35943
525.0339	264.69996
525.3988	255.33782
525.7637	261.18916
526.1285	231.34733
526.4932	276.98777
526.8579	268.7959
527.2226	273.47697
527.5872	282.25398
527.9518	257.09322
528.3163	230.17706
528.6808	283.42425
529.0453	262.35943
529.4096	254.16755
529.774	260.01889
530.1383	306.24447
530.5026	262.35943
530.8668	278.15804
531.2309	270.5513
531.5951	232.51759
531.9592	281.66884
532.3232	257.67835
532.6872	278.74318
533.0511	288.10532
533.415	292.78639
533.7789	279.91344
534.1427	226.08112
534.5064	251.24188
534.8702	250.65675
535.2338	276.98777
535.5975	281.08371
535.961	289.86072
536.3246	257.67835
536.6881	271.72157
537.0515	270.5513
537.4149	284.59451
537.7783	257.67835
538.1416	280.49858
538.5049	283.42425
538.8681	310.92554
539.2312	240.70947
539.5944	276.98777
539.9575	279.32831
540.3205	260.01889
540.6835	240.70947
541.0464	302.14853
541.4093	253.58242
541.7722	249.48648
542.135	286.93505
542.4978	243.05001
542.8605	279.32831
543.2232	249.48648
543.5858	261.77429
543.9484	278.15804
544.3109	283.42425
544.6734	254.75268
545.0359	278.15804
545.3983	284.00938
545.7606	257.09322
546.123	266.45536
546.4852	252.41215
546.8474	252.99728
547.2096	240.12434
547.5718	279.32831
547.9338	229.59193
548.2959	262.94456
548.6579	257.67835
549.0198	277.57291
549.3817	268.7959
549.7436	296.88233
550.1054	254.16755
550.4672	249.48648
550.8289	288.69045
551.1906	245.39054
551.5522	277.57291
551.9138	253.58242
552.2753	257.67835
552.6368	271.13643
552.9983	295.71206
553.3597	249.48648
553.721	262.94456
554.0823	296.88233
554.4436	278.15804
554.8048	271.72157
555.166	298.05259
555.5271	255.33782
555.8882	299.808
556.2493	289.86072
556.6102	283.42425
556.9712	282.83911
557.3321	296.88233
557.6929	292.78639
558.0538	255.33782
558.4145	248.31621
558.7752	297.46746
559.1359	276.98777
559.4965	272.3067
559.8571	248.31621
560.2177	254.75268
560.5781	281.08371
560.9386	250.07161
561.299	268.21076
561.6593	244.22027
562.0196	271.72157
562.3799	241.87974
562.7401	266.45536
563.1003	261.18916
563.4604	284.59451
563.8205	251.82701
564.1805	296.29719
564.5405	248.31621
564.9005	294.54179
565.2603	279.32831
565.6202	261.18916
565.98	272.3067
566.3398	270.5513
566.6995	262.35943
567.0591	247.73108
567.4188	268.7959
567.7783	278.15804
568.1379	256.50809
568.4973	265.28509
568.8568	285.17965
569.2162	296.88233
569.5755	241.87974
569.9348	242.46487
570.2941	279.91344
570.6533	236.61353
571.0124	273.47697
571.3715	249.48648
571.7306	250.07161
572.0896	240.70947
572.4486	265.87023
572.8075	289.86072
573.1664	274.0621
573.5253	267.62563
573.884	298.05259
574.2428	258.26349
574.6015	279.91344
574.9601	269.38103
575.3188	261.18916
575.6773	303.90393
576.0358	274.0621
576.3943	247.14594
576.7527	266.45536
577.1111	257.67835
577.4694	295.12693
577.8277	276.40264
578.186	269.38103
578.5442	274.0621
578.9023	234.273
579.2604	261.77429
579.6185	252.41215
579.9765	252.41215
580.3344	251.24188
580.6924	278.74318
581.0502	273.47697
581.408	258.26349
581.7658	269.38103
582.1236	280.49858
582.4812	286.93505
582.8389	268.7959
583.1965	247.73108
583.554	262.94456
583.9115	276.40264
584.269	219.05951
584.6264	266.45536
584.9838	298.63773
585.3411	269.38103
585.6983	250.07161
586.0556	288.69045
586.4127	275.81751
586.7699	278.15804
587.127	310.34041
587.484	248.90134
587.841	395.18483
588.1979	273.47697
588.5548	248.31621
588.9117	272.3067
589.2685	279.32831
589.6253	298.63773
589.982	266.45536
590.3386	253.58242
590.6953	271.72157
591.0518	271.13643
591.4084	251.24188
591.7648	250.65675
592.1213	271.72157
592.4777	275.81751
592.834	297.46746
593.1903	272.3067
593.5466	293.37152
593.9028	264.11483
594.2589	265.87023
594.615	282.83911
594.9711	282.25398
595.3271	261.18916
595.6831	279.32831
596.039	264.69996
596.3949	284.00938
596.7507	269.96617
597.1065	305.65934
597.4623	272.89184
597.8179	276.98777
598.1736	276.98777
598.5292	291.03099
598.8847	244.22027
599.2403	251.24188
599.5957	259.43376
599.9511	247.73108
600.3065	291.61612
600.6618	287.52018
601.0171	290.44585
601.3723	271.72157
601.7275	264.11483
602.0826	300.97826
602.4377	278.15804
602.7928	312.68094
603.1478	273.47697
603.5027	267.62563
603.8576	270.5513
604.2125	278.74318
604.5673	271.72157
604.922	262.35943
605.2767	256.50809
605.6314	251.24188
605.986	278.74318
606.3406	269.38103
606.6951	257.67835
607.0496	254.16755
607.4041	272.3067
607.7584	248.90134
608.1128	206.18657
608.4671	263.52969
608.8213	266.45536
609.1755	262.94456
609.5297	276.98777
609.8838	271.72157
610.2378	281.08371
610.5919	284.59451
610.9458	305.0742
611.2997	276.40264
611.6536	255.92295
612.0074	275.81751
612.3612	281.08371
612.715	255.33782
613.0686	290.44585
613.4223	280.49858
613.7759	248.90134
614.1294	262.35943
614.4829	288.69045
614.8364	275.81751
615.1898	271.72157
615.5431	268.7959
615.8964	258.26349
616.2497	264.69996
616.6029	256.50809
616.9561	276.40264
617.3092	254.75268
617.6623	264.69996
618.0153	279.32831
618.3683	268.21076
618.7212	244.22027
619.0741	275.81751
619.427	283.42425
619.7798	307.41474
620.1325	261.18916
620.4852	278.15804
620.8379	248.90134
621.1905	275.81751
621.543	267.62563
621.8956	275.81751
622.248	279.91344
622.6004	276.98777
622.9528	279.32831
623.3051	275.81751
623.6574	289.86072
624.0096	236.61353
624.3618	271.13643
624.714	265.28509
625.0661	291.61612
625.4181	278.15804
625.7701	280.49858
626.122	260.60402
626.4739	295.12693
626.8258	264.11483
627.1776	244.80541
627.5294	274.64724
627.8811	291.61612
628.2327	291.03099
628.5844	245.97568
628.9359	247.14594
629.2874	271.13643
629.6389	278.15804
629.9904	285.17965
630.3417	231.34733
630.6931	271.13643
631.0444	274.0621
631.3956	279.32831
631.7468	272.89184
632.0979	257.09322
632.449	236.0284
632.8001	277.57291
633.1511	268.7959
633.5021	265.28509
633.853	260.60402
634.2038	259.43376
634.5546	265.28509
634.9054	246.56081
635.2561	240.12434
635.6068	284.00938
635.9574	278.15804
636.308	260.01889
636.6585	245.39054
637.009	279.91344
637.3595	236.61353
637.7098	238.95407
638.0602	257.67835
638.4105	296.88233
638.7607	265.87023
639.1109	241.2946
639.4611	261.77429
639.8112	278.15804
640.1612	296.29719
640.5113	229.59193
640.8612	287.52018
641.2111	281.08371
641.561	298.05259
641.9108	268.21076
642.2606	285.17965
642.6103	284.00938
642.96	261.77429
643.3096	271.13643
643.6592	261.77429
644.0088	255.33782
644.3582	250.07161
644.7077	275.23237
645.0571	250.07161
645.4064	274.0621
645.7557	257.67835
646.105	300.39313
646.4542	296.88233
646.8033	302.73367
647.1524	302.14853
647.5015	268.21076
647.8505	282.25398
648.1995	272.89184
648.5484	265.28509
648.8973	269.96617
649.2461	260.01889
649.5949	258.26349
649.9436	254.16755
650.2923	281.08371
650.6409	279.32831
650.9895	257.67835
651.338	274.64724
651.6865	258.84862
652.0349	271.72157
652.3833	268.7959
652.7317	263.52969
653.08	266.45536
653.4282	236.61353
653.7764	258.26349
654.1246	246.56081
654.4727	251.24188
654.8208	280.49858
655.1688	264.11483
655.5167	262.94456
655.8647	281.66884
656.2125	260.01889
656.5603	257.09322
656.9081	245.39054
657.2558	282.25398
657.6035	264.69996
657.9512	261.18916
658.2987	261.77429
658.6463	279.91344
658.9938	262.94456
659.3412	271.13643
659.6886	296.88233
660.0359	264.11483
660.3832	268.7959
660.7305	270.5513
661.0777	265.28509
661.4248	276.98777
661.7719	271.72157
662.119	268.21076
662.466	250.07161
662.813	260.60402
663.1599	295.71206
663.5067	233.68786
663.8535	269.96617
664.2003	240.12434
664.547	255.92295
664.8937	269.38103
665.2403	272.3067
665.5869	254.16755
665.9334	263.52969
666.2799	266.45536
666.6264	263.52969
666.9727	260.60402
667.3191	265.87023
667.6654	252.99728
668.0116	282.83911
668.3578	229.00679
668.7039	271.13643
669.05	300.39313
669.3961	302.73367
669.7421	271.13643
670.088	271.72157
670.4339	240.70947
670.7798	278.74318
671.1256	272.89184
671.4714	263.52969
671.8171	273.47697
672.1628	280.49858
672.5084	259.43376
672.8539	222.57032
673.1995	285.17965
673.5449	275.23237
673.8904	250.07161
674.2357	238.95407
674.5811	262.35943
674.9263	261.77429
675.2716	296.88233
675.6167	234.85813
675.9619	265.87023
676.307	254.75268
676.652	270.5513
676.997	252.99728
677.3419	267.0405
677.6868	274.64724
678.0317	268.21076
678.3765	274.0621
678.7212	249.48648
679.0659	271.13643
679.4106	251.82701
679.7552	251.82701
680.0997	237.7838
680.4443	265.87023
680.7887	282.83911
681.1331	250.07161
681.4775	262.94456
681.8218	287.52018
682.1661	262.94456
682.5103	255.92295
682.8545	243.05001
683.1986	255.92295
683.5426	272.3067
683.8867	252.99728
684.2306	279.91344
684.5746	261.77429
684.9185	265.28509
685.2623	275.81751
685.6061	269.96617
685.9498	258.84862
