Wavelength	od	Transmission
786.5	6.13944	7.25E-05
786	6.39703	4.01E-05
785.5	6.19357	6.40E-05
785	6.1752	6.68E-05
784.5	6.13319	7.36E-05
784	6.05932	8.72E-05
783.5	6.76292	1.73E-05
783	6.89153	1.28E-05
782.5	7.02015	9.55E-06
782	6.34799	4.49E-05
781.5	7.32053	4.78E-06
781	7.38556	4.12E-06
780.5	7.4506	3.54E-06
780	6.24093	5.74E-05
779.5	6.18695	6.50E-05
779	6.22761	5.92E-05
778.5	5.96744	1.08E-04
778	5.95838	1.10E-04
777.5	6.31114	4.88E-05
777	6.65663	2.20E-05
776.5	6.31917	4.80E-05
776	6.12065	7.57E-05
775.5	6.21241	6.13E-05
775	6.35429	4.42E-05
774.5	6.78746	1.63E-05
774	6.71306	1.94E-05
773.5	6.63867	2.30E-05
773	6.04609	8.99E-05
772.5	5.84304	1.44E-04
772	6.38288	4.14E-05
771.5	6.9381	1.15E-05
771	7.2654	5.43E-06
770.5	7.18225	6.57E-06
770	6.71636	1.92E-05
769.5	6.15489	7.00E-05
769	6.30152	4.99E-05
768.5	6.22539	5.95E-05
768	6.06821	8.55E-05
767.5	5.91108	1.23E-04
767	6.16696	6.81E-05
766.5	5.96452	1.09E-04
766	7.15593	6.98E-06
765.5	7.33846	4.59E-06
765	6.69466	2.02E-05
764.5	6.65612	2.21E-05
764	6.54012	2.88E-05
763.5	6.3189	4.80E-05
763	6.09612	8.01E-05
762.5	6.07631	8.39E-05
762	6.48515	3.27E-05
761.5	6.46094	3.46E-05
761	6.15393	7.02E-05
760.5	6.31832	4.80E-05
760	6.23725	5.79E-05
759.5	7.2649	5.43E-06
759	7.35187	4.45E-06
758.5	6.58511	2.60E-05
758	6.26897	5.38E-05
757.5	6.22462	5.96E-05
757	6.15138	7.06E-05
756.5	6.03308	9.27E-05
756	6.02469	9.45E-05
755.5	6.10253	7.90E-05
755	5.93371	1.16E-04
754.5	5.83995	1.45E-04
754	5.90075	1.26E-04
753.5	5.95797	1.10E-04
753	6.08124	8.29E-05
752.5	6.7598	1.74E-05
752	6.55376	2.79E-05
751.5	6.3251	4.73E-05
751	6.25763	5.53E-05
750.5	6.4008	3.97E-05
750	6.41251	3.87E-05
749.5	6.42422	3.77E-05
749	6.39214	4.05E-05
748.5	6.64606	2.26E-05
748	6.89998	1.26E-05
747.5	6.43436	3.68E-05
747	6.33336	4.64E-05
746.5	6.18188	6.58E-05
746	6.25919	5.51E-05
745.5	6.41212	3.87E-05
745	6.07359	8.44E-05
744.5	5.93086	1.17E-04
744	5.92107	1.20E-04
743.5	6.06432	8.62E-05
743	6.27354	5.33E-05
742.5	6.27331	5.33E-05
742	6.27309	5.33E-05
741.5	6.27288	5.33E-05
741	6.05979	8.71E-05
740.5	6.12733	7.46E-05
740	6.37976	4.17E-05
739.5	6.34207	4.55E-05
739	6.57526	2.66E-05
738.5	6.80844	1.55E-05
738	6.509	3.10E-05
737.5	6.30544	4.95E-05
737	7.2695	5.38E-06
736.5	7.30992	4.90E-06
736	6.46712	3.41E-05
735.5	7.33635	4.61E-06
735	7.32237	4.76E-06
734.5	6.41118	3.88E-05
734	6.61513	2.43E-05
733.5	6.83813	1.45E-05
733	7.14715	7.13E-06
732.5	7.45617	3.50E-06
732	6.49327	3.21E-05
731.5	6.19301	6.41E-05
731	6.18613	6.51E-05
730.5	7.41087	3.88E-06
730	7.44586	3.58E-06
729.5	7.48085	3.30E-06
729	6.25627	5.54E-05
728.5	6.0983	7.97E-05
728	7.013	9.71E-06
727.5	6.21381	6.11E-05
