Wavelength	od	Transmission	
2368	-1.845211107	70.01822662	
2367	-1.84506055	69.99395752	
2366	-1.845053685	69.99285126	
2365	-1.845023719	69.98802185	
2364	-1.845416247	70.05130768	
2363	-1.845379115	70.0453186	
2362	-1.845753646	70.10575104	
2361	-1.846213602	70.18003845	
2360	-1.845784224	70.11068726	
2359	-1.847026225	70.31147766	
2358	-1.846369376	70.20521545	
2357	-1.846853668	70.28354645	
2356	-1.847368592	70.3669281	
2355	-1.846848293	70.2826767	
2354	-1.84646423	70.22055054	
2353	-1.846173611	70.17357635	
2352	-1.846964299	70.30145264	
2351	-1.846299238	70.19387817	
2350	-1.847546923	70.39582825	
2349	-1.847170638	70.33486176	
2348	-1.8468424	70.28172302	
2347	-1.848423483	70.53805542	
2346	-1.847595448	70.40369415	
2345	-1.848007523	70.47052765	
2344	-1.848432784	70.53956604	
2343	-1.848318673	70.52103424	
2342	-1.848994913	70.63092804	
2341	-1.849525345	70.71724701	
2340	-1.849502949	70.71360016	
2339	-1.849524034	70.71703339	
2338	-1.849685183	70.7432785	
2337	-1.848932094	70.62071228	
2336	-1.849424831	70.70088196	
2335	-1.848894135	70.6145401	
2334	-1.848453075	70.54286194	
2333	-1.847866963	70.44772339	
2332	-1.847095399	70.32267761	
2331	-1.847036969	70.31321716	
2330	-1.84653722	70.23235321	
2329	-1.846248632	70.18569946	
2328	-1.845979646	70.14224243	
2327	-1.844864477	69.9623642	
2326	-1.843488344	69.74102783	
2325	-1.843008512	69.66401672	
2324	-1.841641028	69.44500732	
2323	-1.840284302	69.22840118	
2322	-1.839488539	69.10166931	
2321	-1.837685056	68.81530762	
2320	-1.836926669	68.69524384	
2319	-1.834944245	68.38238525	
2318	-1.833556438	68.16421509	
2317	-1.832741763	68.03646851	
2316	-1.831602385	67.8582077	
2315	-1.831398185	67.8263092	
2314	-1.831450942	67.83454895	
2313	-1.831584318	67.85538483	
2312	-1.831865197	67.89928436	
2311	-1.832555834	68.00734711	
2310	-1.833052312	68.08513641	
2309	-1.833186122	68.10611725	
2308	-1.834060271	68.24333954	
2307	-1.834413398	68.29885101	
2306	-1.834336061	68.28668976	
2305	-1.835696763	68.50097656	
2304	-1.835928153	68.53748322	
2303	-1.837229277	68.74312592	
2302	-1.836701795	68.65968323	
2301	-1.837634014	68.80722046	
2300	-1.837961392	68.85910797	
2299	-1.838973446	69.01976013	
2298	-1.840180238	69.21181488	
2297	-1.840314789	69.23326111	
2296	-1.841473238	69.41818237	
2295	-1.842837062	69.63652039	
2294	-1.844116306	69.84194183	
2293	-1.844882663	69.96529388	
2292	-1.846241504	70.18454742	
2291	-1.847249774	70.34767914	
2290	-1.849303621	70.68115234	
2289	-1.849669773	70.74076843	
